"row_id","MDR1__Redshifts__snapnum","MDR1__Redshifts__aexp","MDR1__Redshifts__zred"
1,85,1.001,0
2,84,0.986,0.01
3,83,0.971,0.03
4,82,0.956,0.05
5,81,0.94,0.06
6,80,0.925,0.08
7,79,0.91,0.1
8,78,0.895,0.12
9,77,0.88,0.14
10,76,0.864,0.16
11,75,0.849,0.18
12,74,0.834,0.2
13,73,0.819,0.22
14,72,0.804,0.24
15,71,0.788,0.27
16,70,0.773,0.29
17,69,0.758,0.32
18,68,0.743,0.35
19,67,0.728,0.37
20,66,0.713,0.4
21,64,0.682,0.47
22,62,0.652,0.53
23,60,0.621,0.61
24,58,0.591,0.69
25,56,0.561,0.78
26,54,0.53,0.89
27,52,0.5,1
28,50,0.47,1.13
29,48,0.439,1.28
30,46,0.409,1.45
31,44,0.378,1.64
32,42,0.348,1.87
33,40,0.318,2.15
34,38,0.287,2.48
35,36,0.257,2.89
36,34,0.227,3.41
37,32,0.196,4.1
38,30,0.176,4.68
39,28,0.156,5.42
40,26,0.135,6.39
41,24,0.115,7.68
42,22,0.102,8.84
43,20,0.088,10.34
